,URL,whois,creation,expiration,duration
21,http://www.mountaintroutcamp.com/,"('MOUNTAINTROUTCAMP.COM', datetime.datetime(2010, 3, 25, 0, 2, 44), datetime.datetime(2022, 3, 25, 0, 2, 44))",2010-03-25 00:02:44,2022-03-25 00:02:44,4383 days 00:00:00
22,http://www.nol.com.sg/,"('NOL.COM.SG', datetime.datetime(1995, 6, 15, 0, 0), datetime.datetime(2022, 6, 15, 0, 0))",1995-06-15 00:00:00,2022-06-15 00:00:00,9862 days 00:00:00
23,http://www.imdb.com/title/tt0433383/,"(['IMDB.COM', 'imdb.com'], [datetime.datetime(1996, 1, 5, 5, 0), datetime.datetime(1996, 1, 4, 21, 0)], [datetime.datetime(2024, 1, 4, 5, 0), datetime.datetime(2024, 1, 3, 0, 0)])",1996-01-05 05:00:00,2024-01-04 05:00:00,10226 days 00:00:00
24,http://www.meat.org.uk/slaught.html,"('meat.org.uk', datetime.datetime(2002, 3, 18, 0, 0), datetime.datetime(2022, 3, 18, 0, 0))",2002-03-18 00:00:00,2022-03-18 00:00:00,7305 days 00:00:00
25,http://groups.yahoo.com/group/lmrpager/,"('YAHOO.COM', datetime.datetime(1995, 1, 18, 5, 0), datetime.datetime(2023, 1, 19, 5, 0))",1995-01-18 05:00:00,2023-01-19 05:00:00,10228 days 00:00:00
26,http://ozpottery.tripod.com/,"(['TRIPOD.COM', 'tripod.com'], [datetime.datetime(1994, 9, 29, 4, 0), datetime.datetime(1994, 9, 29, 0, 0)], [datetime.datetime(2021, 9, 28, 4, 0), datetime.datetime(2021, 9, 28, 0, 0)])",1994-09-29 04:00:00,2021-09-28 04:00:00,9861 days 00:00:00
27,http://www.organawareness.org/,"('ORGANAWARENESS.ORG', datetime.datetime(2003, 4, 22, 20, 40, 4), datetime.datetime(2023, 4, 22, 20, 40, 4))",2003-04-22 20:40:04,2023-04-22 20:40:04,7305 days 00:00:00
28,http://www.purpledrag.com/,"('PURPLEDRAG.COM', datetime.datetime(2005, 11, 6, 1, 45, 32), datetime.datetime(2021, 11, 6, 1, 45, 32))",2005-11-06 01:45:32,2021-11-06 01:45:32,5844 days 00:00:00
29,http://www.crawfordknives.com/,"('CRAWFORDKNIVES.COM', [datetime.datetime(1997, 6, 25, 4, 0), datetime.datetime(1997, 6, 24, 23, 0)], [datetime.datetime(2021, 6, 24, 4, 0), datetime.datetime(2021, 6, 23, 23, 0)])",1997-06-25 04:00:00,2021-06-24 04:00:00,8765 days 00:00:00
30,http://www.moneygram.com/,"(['MONEYGRAM.COM', 'moneygram.com'], [datetime.datetime(1998, 8, 12, 4, 0), datetime.datetime(1998, 8, 11, 21, 0)], [datetime.datetime(2023, 8, 11, 4, 0), datetime.datetime(2023, 8, 10, 21, 0)])",1998-08-12 04:00:00,2023-08-11 04:00:00,9130 days 00:00:00
31,http://www.cmml.us/,"(['cmml.us', 'CMML.US'], datetime.datetime(2010, 5, 13, 17, 14, 1), datetime.datetime(2029, 5, 12, 23, 59, 59))",2010-05-13 17:14:01,2029-05-12 23:59:59,6939 days 06:45:58
32,http://www.healthboards.com/cgi/forumdisplay.cgi?action=topics&forum=Myositis&number=86,"('HEALTHBOARDS.COM', [datetime.datetime(1998, 4, 30, 4, 0), datetime.datetime(1998, 4, 29, 23, 0)], [datetime.datetime(2022, 4, 29, 4, 0), datetime.datetime(2022, 4, 28, 23, 0)])",1998-04-30 04:00:00,2022-04-29 04:00:00,8765 days 00:00:00
33,http://baharna.com/karma/mystknow.htm,"('BAHARNA.COM', datetime.datetime(2002, 3, 11, 6, 39, 58), datetime.datetime(2022, 3, 11, 5, 39, 58))",2002-03-11 06:39:58,2022-03-11 05:39:58,7304 days 23:00:00
34,http://www.trainingdynamicsweb.com/,"('TRAININGDYNAMICSWEB.COM', datetime.datetime(1998, 5, 19, 4, 0), datetime.datetime(2022, 5, 18, 4, 0))",1998-05-19 04:00:00,2022-05-18 04:00:00,8765 days 00:00:00
35,http://www.pinecrestny.com/,"('PINECRESTNY.COM', [datetime.datetime(2009, 2, 24, 20, 24, 25), datetime.datetime(2009, 2, 24, 14, 24, 25)], [datetime.datetime(2022, 2, 24, 20, 24, 25), datetime.datetime(2022, 2, 24, 14, 24, 25)])",2009-02-24 20:24:25,2022-02-24 20:24:25,4748 days 00:00:00
36,http://slaintemhath.tripod.com/,"(['TRIPOD.COM', 'tripod.com'], [datetime.datetime(1994, 9, 29, 4, 0), datetime.datetime(1994, 9, 29, 0, 0)], [datetime.datetime(2021, 9, 28, 4, 0), datetime.datetime(2021, 9, 28, 0, 0)])",1994-09-29 04:00:00,2021-09-28 04:00:00,9861 days 00:00:00
37,http://www.damicon.com/,"('DAMICON.COM', [datetime.datetime(2000, 4, 6, 0, 8, 14), datetime.datetime(2000, 4, 5, 19, 8, 14)], [datetime.datetime(2022, 4, 6, 0, 8, 14), datetime.datetime(2022, 4, 5, 19, 8, 14)])",2000-04-06 00:08:14,2022-04-06 00:08:14,8035 days 00:00:00
38,http://www.audiemurphy.com/,"('AUDIEMURPHY.COM', datetime.datetime(1998, 2, 12, 5, 0), datetime.datetime(2023, 2, 11, 5, 0))",1998-02-12 05:00:00,2023-02-11 05:00:00,9130 days 00:00:00
39,http://www.raveneve.com/,"('RAVENEVE.COM', datetime.datetime(2000, 10, 30, 1, 38, 3), datetime.datetime(2022, 10, 30, 0, 38, 3))",2000-10-30 01:38:03,2022-10-30 00:38:03,8034 days 23:00:00
40,http://www.zebulonbaptist.com/,"(['ZEBULONBAPTIST.COM', 'zebulonbaptist.com'], [datetime.datetime(1999, 11, 22, 17, 36, 17), datetime.datetime(1999, 11, 22, 12, 36, 17)], [datetime.datetime(2023, 11, 22, 17, 36, 17), datetime.datetime(2023, 11, 22, 12, 36, 17)])",1999-11-22 17:36:17,2023-11-22 17:36:17,8766 days 00:00:00
41,http://www.efcw.net/,"('EFCW.NET', datetime.datetime(2000, 7, 28, 2, 50, 51), datetime.datetime(2021, 7, 28, 2, 50, 51))",2000-07-28 02:50:51,2021-07-28 02:50:51,7670 days 00:00:00
42,http://www.yellowstone-bearman.com/B_housesafe.html,"('YELLOWSTONE-BEARMAN.COM', datetime.datetime(1999, 5, 12, 15, 44, 52), datetime.datetime(2025, 5, 12, 15, 44, 25))",1999-05-12 15:44:52,2025-05-12 15:44:25,9496 days 23:59:33
43,http://www.caribbeansoaps.com/,"('CARIBBEANSOAPS.COM', datetime.datetime(2001, 5, 25, 17, 26, 25), datetime.datetime(2022, 5, 25, 17, 26, 25))",2001-05-25 17:26:25,2022-05-25 17:26:25,7670 days 00:00:00
44,http://www.homoerection.com/cumplay/index.html,"('HOMOERECTION.COM', datetime.datetime(2020, 4, 14, 18, 6, 46), datetime.datetime(2021, 4, 14, 18, 6, 46))",2020-04-14 18:06:46,2021-04-14 18:06:46,365 days 00:00:00
45,http://www.naturalchild.org/,"(['NATURALCHILD.ORG', 'naturalchild.org'], [datetime.datetime(2000, 1, 15, 18, 21, 12), '2000-01-15T18:21:12+0000Z'], [datetime.datetime(2022, 1, 15, 18, 21, 12), '2022-01-15T18:21:12+0000Z'])",2000-01-15 18:21:12,2022-01-15 18:21:12,8036 days 00:00:00
46,http://www.ptgui.com/,"(['PTGUI.COM', 'ptgui.com'], datetime.datetime(2000, 12, 1, 17, 51, 52), datetime.datetime(2021, 10, 31, 3, 59, 59))",2000-12-01 17:51:52,2021-10-31 03:59:59,7638 days 10:08:07
47,http://www.basketsbysusan.com/,"('BASKETSBYSUSAN.COM', datetime.datetime(2000, 3, 14, 23, 7, 44), datetime.datetime(2022, 3, 14, 22, 7, 44))",2000-03-14 23:07:44,2022-03-14 22:07:44,8034 days 23:00:00
48,http://www.rubiconexpress.com/,"('RUBICONEXPRESS.COM', datetime.datetime(1996, 11, 14, 5, 0), datetime.datetime(2021, 11, 13, 5, 0))",1996-11-14 05:00:00,2021-11-13 05:00:00,9130 days 00:00:00
49,http://en.wikipedia.org/wiki/Blue_Oak,"(['WIKIPEDIA.ORG', 'wikipedia.org'], [datetime.datetime(2001, 1, 13, 0, 12, 14), datetime.datetime(2001, 1, 12, 16, 12, 14)], [datetime.datetime(2023, 1, 13, 0, 12, 14), datetime.datetime(2023, 1, 12, 0, 0)])",2001-01-13 00:12:14,2023-01-13 00:12:14,8035 days 00:00:00
50,http://health.groups.yahoo.com/group/childrenwithlymphedema/,"('YAHOO.COM', datetime.datetime(1995, 1, 18, 5, 0), datetime.datetime(2023, 1, 19, 5, 0))",1995-01-18 05:00:00,2023-01-19 05:00:00,10228 days 00:00:00
51,http://pc.gamespy.com/pc/the-continuum/,"(['GAMESPY.COM', 'gamespy.com'], [datetime.datetime(1997, 4, 30, 4, 0), datetime.datetime(1997, 4, 30, 0, 0)], datetime.datetime(2022, 5, 1, 4, 0))",1997-04-30 04:00:00,2022-05-01 04:00:00,9132 days 00:00:00
